uuid_c,Sf Net Desk Change
8581bf66-c35b-4ab8-98ad-2d4d067332de,0.0
3263e1b0-8f94-0136-a123-0242ac11720c,2.0
67e897d1-dbc5-422f-9c35-c86a40d0a876,1.0
f2aae830-9708-0135-7410-0242ac115107,1.0
f2f0e1d3-034f-464d-bbe9-4d076f03a274,0.0
1d9dfc27-d578-46b7-95c5-93fef0ea3680,1.0
7601bff4-2665-49ee-8911-ff4691c2ba86,1.0
ec900030-747c-0134-5406-3e2a4e22819e,0.0
bac8ee70-6062-0136-3a47-0242ac111c12,1.0
ac88cc0a-0bfa-44e9-ab46-d292057f239b,1.0
d9d35d40-2f6d-0136-fcc2-0242ac112109,10.0
9e5dad3a-1ccc-41c0-9322-6b79659cfa81,1.0
90254434-e048-46b6-aedf-9920667eed62,1.0
11371b80-8ca2-0136-0562-0242ac115706,6.0
d9dbdced-0694-4b82-ab83-18fd2ab3f25b,0.0
f85a2110-8253-0136-e943-0242ac115706,2.0
9ff26a40-7667-0136-0a85-0242ac115111,1.0
8dcee700-5b2d-0135-a93f-0242ac113d0e,2.0
481727d5-51d1-40fa-8ba8-1e97040dfe6f,1.0
a2de6893-255f-48d6-a34a-99a214b9c0fe,1.0
a1d5cf70-9d57-0134-3102-46c1d7cc6a65,2.0
a81b986b-8550-44b2-96c5-adc0cd0b5623,4.0
99b487c0-dad6-0134-803a-0242ac113508,0.0
ee9a93c0-4646-0136-8423-0242ac114a0f,12.0
2792ae10-56c4-0136-468b-0242ac11150c,3.0
3dcb7c20-c16e-4704-82b7-573c88ba2be2,3.0
5f00dc22-9a41-4353-acfa-0c857c64b7ab,1.0
48ca3550-8b11-43b1-bf34-22ed870eb6cd,1.0
c29f95c0-89c3-0136-01ca-0242ac115706,2.0
362e17a4-9b46-4901-ace5-28017d07253d,3.0
7e157b40-8a09-0136-204f-0242ac114a0f,20.0
0878c406-1416-4948-b40f-a728d16033f4,10.0
1b8723cd-10db-4b3b-8927-43906804a802,1.0
c3a339a0-8a16-0136-9745-0242ac11720c,7.0
00c32b28-b822-4333-a7f0-edb1dd8f8911,1.0
85be9075-0280-4de7-b581-606d82c12535,2.0
2ef289f6-a978-4113-81a6-80bbe11b561e,1.0
53c6301e-2367-4ccb-b57a-289cd44037ac,1.0
342e2fa0-6b39-0135-f86d-0242ac116707,6.0
43e97620-5dff-0136-62f1-0242ac111c11,1.0
7e546220-82d7-0136-a2d2-0242ac116712,137.0
3f3ef5e0-7eda-0136-2e1c-0242ac11510b,1.0
f548b4b4-c7ec-47d7-8ebb-25e88bcc529b,1.0
4b738e70-7897-0136-3f68-0242ac111513,1.0
e029ae82-3d46-4e4d-b485-69a638f4cace,1.0
ea985820-828b-0136-6806-0242ac111c12,44.0
1a0a8770-b4d4-0134-4dee-0242ac113508,0.0
3fe8c960-7e39-0136-2d2a-0242ac11510b,2.0
16a5b144-75bc-464a-b9fc-d7bb3355d503,4.0
2810c084-8ba2-455a-a492-b3752eb4d772,1.0
12935250-8e0d-0136-451e-0242ac11210a,2.0
20678960-765d-0136-9868-0242ac114a0c,2.0
7bec14f0-887a-0136-1d9d-0242ac114a0f,3.0
6a9f62f0-8dd1-0136-25fb-0242ac114a0f,1.0
c9ef4580-d152-0134-cb25-0242ac113508,0.0
1d980640-7e88-0136-830d-0242ac116708,6.0
981c5666-57d7-4611-8550-323e59b86dc7,0.0
34b280dd-1bd8-40f4-8029-f5b4924bdb39,12.0
53e47340-7f1e-0136-f100-0242ac112c0e,5.0
ca1b5880-892c-0136-956a-0242ac11720c,1.0
fbda556b-b337-4f41-88f3-3cb66585ed1b,1.0
06ac46b0-89df-0136-1fe8-0242ac114a0f,1.0
