Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,ma_created,sf_opportunity_id,reservation_uuid,reservation_created,reservation_started_on,reservation_ended_on,reservable
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,4169d303-4ee8-4e75-bd08-753f98a57e6b,2018-07-02 16:43:15.742,MDA2MEcwMDAwMHZqbTBl,e89905e0-3ab8-4338-806d-6c9e5d6c4dec,2018-06-29 15:43:07.405,,2018-07-31,5.013
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,4169d303-4ee8-4e75-bd08-753f98a57e6b,2018-07-02 16:43:15.742,MDA2MEcwMDAwMHZqbTBl,7fecb1de-c881-4609-bb82-40601a55793a,2018-07-02 16:48:48.458,2018-08-01,,6.007
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,,,,,,,,
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,,,,,,,,
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Canceled,NoReusableOpportunityFound,,,,,,,,
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,,,,,,,,
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Sent,MostRecentOpenOpportunity,143c146e-6e7c-4f5a-8f9d-1be9f645d2bd,2018-07-03 04:57:51.716,MDA2MEcwMDAwMHBSbzBu,9ba6f7cb-d35f-476b-b1b9-4ea1fcb812db,2018-05-02 05:56:49.303,,2018-07-03,18-131
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,OpportunityFoundByMembershipAgreement,d28946e5-f752-4fb2-8001-a38f9af392f5,2018-07-03 05:09:41.709,MDA2MEcwMDAwMHZqbmpW,e52028d9-cf6e-422c-b77f-abfe64e45285,2018-07-03 06:29:55.038,2018-07-04,,18-131
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,NoReusableOpportunityFound,d28946e5-f752-4fb2-8001-a38f9af392f5,2018-07-03 05:09:41.709,MDA2MEcwMDAwMHZqbmpW,e52028d9-cf6e-422c-b77f-abfe64e45285,2018-07-03 06:29:55.038,2018-07-04,,18-131
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,NoReusableOpportunityFound,d28946e5-f752-4fb2-8001-a38f9af392f5,2018-07-03 05:09:41.709,MDA2MEcwMDAwMHZqbmpW,e52028d9-cf6e-422c-b77f-abfe64e45285,2018-07-03 06:29:55.038,2018-07-04,,18-131
82cf51a0-3c60-0134-7be2-26098e563da1,-6.0,0.0,-6.0,6.0,Contract Signed,OpportunityFoundById,143c146e-6e7c-4f5a-8f9d-1be9f645d2bd,2018-07-03 04:57:51.716,MDA2MEcwMDAwMHBSbzBu,9ba6f7cb-d35f-476b-b1b9-4ea1fcb812db,2018-05-02 05:56:49.303,,2018-07-03,18-131
45497580-466b-0136-78ff-0242ac11560c,0.0,-1.0,1.0,1.0,Contract Canceled,NoReusableOpportunityFound,,,,,,,,
4bfec0bb-7311-40b9-a356-da49a3b48671,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
