Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
b45923c0-d4cd-0133-419d-46f61a44851b,-8.0,0.0,-8.0,8.0
86b80a80-3b34-0136-09b0-0242ac114a08,-11.0,0.0,-11.0,11.0
04fc81b0-6da2-4e00-8ab4-5fd5650ac4c6,-28.0,0.0,-28.0,28.0
04fc81b0-6da2-4e00-8ab4-5fd5650ac4c6,-28.0,0.0,-28.0,28.0
f624f573-788e-4db1-901d-df3e408e0327,-2.0,0.0,-2.0,2.0
378d60d0-b436-0134-414c-0242ac112c0c,0.0,1.0,-1.0,1.0
67568640-0db2-0136-0810-0242ac116705,-1.0,0.0,-1.0,1.0
4aafb1db-e24b-4d62-b978-55a5effae13b,-2.0,0.0,-2.0,2.0
2ac546b4-3653-4c46-9f7d-5647f6de7cd5,-31.0,0.0,-31.0,31.0
0699ea20-d0ba-0133-94b3-3a877aca08e3,-2.0,0.0,-2.0,2.0
d34d27c0-52a8-0135-c2a9-0242ac113a12,-1.0,0.0,-1.0,1.0
ba18d08a-7e7b-4c24-958f-0d2200c42c33,-13.0,0.0,-13.0,13.0
5145e02d-a5f8-4eb1-9518-4e00134875e7,-75.0,0.0,-75.0,75.0
3bb677a0-a855-0135-1b9a-0242ac11150d,-5.0,5.0,-10.0,10.0
3bb677a0-a855-0135-1b9a-0242ac11150d,-5.0,0.0,-5.0,5.0
3bb677a0-a855-0135-1b9a-0242ac11150d,0.0,5.0,-5.0,5.0
3bb677a0-a855-0135-1b9a-0242ac11150d,0.0,0.0,0.0,0.0
3026f570-6c52-0136-ae38-0242ac111c0c,0.0,0.0,0.0,0.0
3026f570-6c52-0136-ae38-0242ac111c0c,0.0,1.0,-1.0,1.0
a25a25e0-689c-0136-f633-0242ac11150d,1.0,0.0,1.0,1.0
a25a25e0-689c-0136-f633-0242ac11150d,1.0,0.0,1.0,1.0
a25a25e0-689c-0136-f633-0242ac11150d,1.0,2.0,-1.0,1.0
7c24c6a0-031a-0136-101f-0242ac111c0a,-3.0,0.0,-3.0,3.0
cf875460-1079-0135-39c6-0242ac11350b,-4.0,0.0,-4.0,4.0
2f0e2f08-9ff3-461e-bcd4-dbbbae8e1944,-2.0,0.0,-2.0,2.0
7d3b3edc-3b67-43bb-b823-e2772bc44e15,0.0,0.0,0.0,0.0
7d3b3edc-3b67-43bb-b823-e2772bc44e15,0.0,1.0,-1.0,1.0
2fdf8549-b0d1-4792-bb05-3120951e4eed,-2.0,0.0,-2.0,2.0
64332eb0-4f43-0136-d826-0242ac111c08,-8.0,0.0,-8.0,8.0
dcc30e01-7231-49f2-ab48-78553dfe31b8,-9.0,0.0,-9.0,9.0
2fe6ec66-b8ac-49f5-bdb1-ec1ab04e30d7,-8.0,0.0,-8.0,8.0
d0ee7660-1e03-0136-f39c-0242ac115605,0.0,2.0,-2.0,2.0
d0ee7660-1e03-0136-f39c-0242ac115605,0.0,0.0,0.0,0.0
39072c9e-21c1-4fbd-83dd-37f183b6c4b5,-3.0,0.0,-3.0,3.0
e13b00e9-f5ef-4263-9258-b0d80186ff60,-38.0,0.0,-38.0,38.0
de514460-0f25-0136-0b4e-0242ac116705,-1.0,0.0,-1.0,1.0
9fd2e490-a658-0135-1778-0242ac111508,-1.0,0.0,-1.0,1.0
08b63e86-45ff-44bd-92cb-580f828e0e57,-6.0,0.0,-6.0,6.0
08b63e86-45ff-44bd-92cb-580f828e0e57,-6.0,2.0,-8.0,8.0
ed9ec7de-f3cb-4ca1-b31e-255c6e2e474f,-14.0,0.0,-14.0,14.0
5d3e6070-f5a0-0134-2866-0242ac11090a,-3.0,0.0,-3.0,3.0
04e2683f-8172-4d09-9997-0757891b8c1f,-8.0,0.0,-8.0,8.0
