parent_account_c,net_desks_closedwon,date
0010G00002JcxEjQAJ,1.0,2018-08-31
0010G00002CEGjRQAX,4.0,2018-08-20
0010G00002FzTvKQAV,0.0,2018-08-15
0010G00002CEFTDQA5,2.0,2018-08-30
0010G00002I7q4cQAB,2.0,2018-08-02
0010G00002CE9ZhQAL,5700.0,2018-08-31
0010G00002I7QjaQAF,1.0,2018-08-07
0010G00002I7q8QQAR,1.0,2018-08-01
,25.0,2018-08-03
0010G00002CDhh3QAD,0.0,2018-08-09
0010G00002FyH7ZQAV,0.0,2018-08-08
0010G00002HnOBbQAN,1.0,2018-08-28
0010G00002CDsbqQAD,4.0,2018-08-14
0010G00002FyGbnQAF,10.0,2018-08-15
0010G00002CDjUYQA1,16.0,2018-08-24
0010G00002CDg5pQAD,1.0,2018-08-02
0010G00002I7PZcQAN,2.0,2018-08-31
0010G00002J91pUQAR,12.0,2018-08-09
0010G00002JCagkQAD,1.0,2018-08-22
0010G00002CEGFqQAP,2.0,2018-08-09
0010G00002GrCULQA3,1.0,2018-08-31
0010G00002CE7L9QAL,0.0,2018-08-22
0010G00002JA0nOQAT,1.0,2018-08-14
0010G00002I7qBSQAZ,4.0,2018-08-02
0010G00002CDZTOQA5,370.0,2018-08-16
0010G00002CEGK2QAP,0.0,2018-08-31
0010G00002CDlUJQA1,1.0,2018-08-20
0010G00002CE0k1QAD,12.0,2018-08-24
0010G00002I80QiQAJ,48.0,2018-08-29
0010G00002CE84wQAD,4.0,2018-08-07
0010G00002JCssWQAT,12.0,2018-08-24
0010G00002CDvU8QAL,8.0,2018-08-21
0010G00002CDchfQAD,5.0,2018-08-29
0010G00002CE20mQAD,1261.0,2018-08-07
0010G00002CDlIuQAL,0.0,2018-08-02
0010G00002CEHRIQA5,9.0,2018-08-29
0010G00002CE2ysQAD,30.0,2018-08-02
0010G00002CE7vHQAT,0.0,2018-08-30
0010G00002Fzzv0QAB,2.0,2018-08-29
0010G00002CDZk6QAH,1442.0,2018-08-14
0010G00002J9ftcQAB,22.0,2018-08-06
0010G00002J9HgQQAV,16.0,2018-08-16
0010G00002CDf4iQAD,0.0,2018-08-30
0010G00002CDooEQAT,2.0,2018-08-27
0010G00002CDg21QAD,2.0,2018-08-27
0010G00002CDdlvQAD,7.0,2018-08-29
0010G00002CDwOhQAL,2.0,2018-08-27
0010G00002CDZu0QAH,16.0,2018-08-27
0010G00002GrJwKQAV,36.0,2018-08-15
0010G00002I7q4SQAR,4.0,2018-08-01
0010G00002CDgt8QAD,9.0,2018-08-12
0010G00002JBrntQAD,1.0,2018-08-31
0010G00002CDfC3QAL,8.0,2018-08-28
0010G00002CDwpnQAD,24.0,2018-08-26
0010G00002Ge7ubQAB,1.0,2018-08-28
0010G00002J9aMhQAJ,2.0,2018-08-08
0010G00002I7qIPQAZ,2.0,2018-08-23
0010G00002CDZNtQAP,140.0,2018-08-30
0010G00002I7QBtQAN,6.0,2018-08-13
0010G00002I7q8SQAR,3.0,2018-08-03
0010G00002JCA6dQAH,273.0,2018-08-22
0010G00002CDhQJQA1,28.0,2018-08-13
0010G00002CEF3iQAH,95.0,2018-08-09
0010G00002JAcAUQA1,1.0,2018-08-14
0010G00002CEBeCQAX,0.0,2018-08-20
0010G00002CDz0gQAD,0.0,2018-08-09
0010G00002CDcBdQAL,4.0,2018-08-13
0010G00002I7qBwQAJ,3.0,2018-08-03
0010G00002HnPazQAF,0.0,2018-08-14
0010G00002CDw9LQAT,2.0,2018-08-27
0010G00002I7qItQAJ,1.0,2018-08-01
0010G00002CDxYQQA1,24.0,2018-08-28
0010G00002I81uHQAR,10.0,2018-08-10
0010G00002CE71AQAT,2.0,2018-08-15
0010G00002CDhidQAD,0.0,2018-08-13
0010G00002I7QfFQAV,1.0,2018-08-01
0010G00002CDlgRQAT,0.0,2018-08-25
0010G00002JAB0hQAH,0.0,2018-08-08
0010G00002CDj9jQAD,0.0,2018-08-03
0010G00002I7Q2ZQAV,3.0,2018-08-06
0010G00002CDZiBQAX,1320.0,2018-08-30
0010G00002CDZj5QAH,616.0,2018-08-02
0010G00002CDstJQAT,0.0,2018-08-23
0010G00002HpAZeQAN,3.0,2018-08-03
0010G00002JCeXTQA1,7.0,2018-08-21
0010G00002HnOZsQAN,4092.0,2018-08-08
0010G00002CEGIsQAP,1.0,2018-08-28
0010G00002CDZZ8QAP,0.0,2018-08-28
0010G00002FUFHoQAP,0.0,2018-08-09
0010G00002JBpaiQAD,8.0,2018-08-09
0010G00002CDZTpQAP,0.0,2018-08-01
0010G00002CEHOHQA5,0.0,2018-08-31
0010G00002I7qHoQAJ,2.0,2018-08-27
0010G00002JA1ekQAD,2.0,2018-08-24
0010G00002FyH6FQAV,2.0,2018-08-14
0010G00002FzTpFQAV,0.0,2018-08-14
0010G00002CEJBpQAP,6.0,2018-08-23
0010G00002I7Q6GQAV,15.0,2018-08-09
0010G00002JcqnLQAR,1.0,2018-08-30
0010G00002CDsG3QAL,0.0,2018-08-28
0010G00002JAwSQQA1,4.0,2018-08-09
0010G00002CE4ouQAD,0.0,2018-08-28
0010G00002I82A5QAJ,1.0,2018-08-22
0010G00002I7QCPQA3,1.0,2018-08-02
0010G00002J9gadQAB,4.0,2018-08-30
0010G00002CE7awQAD,6.0,2018-08-31
0010G00002CEJiGQAX,18.0,2018-08-07
0010G00002JCa5yQAD,1.0,2018-08-23
0010G00002I7PjrQAF,4.0,2018-08-28
0010G00002JC4nvQAD,1.0,2018-08-17
0010G00002CE5eKQAT,64.0,2018-08-03
0010G00002CDfNeQAL,5.0,2018-08-08
0010G00002J92NVQAZ,6.0,2018-08-24
0010G00002I7qFPQAZ,1.0,2018-08-01
0010G00002CDhipQAD,0.0,2018-08-28
0010G00002I7qFTQAZ,3.0,2018-08-07
0010G00002I80gxQAB,4.0,2018-08-06
0010G00002CE8hFQAT,3.0,2018-08-26
0010G00002CDZPWQA5,9936.0,2018-08-15
0010G00002I7qJUQAZ,2.0,2018-08-14
0010G00002I7PXCQA3,1.0,2018-08-22
0010G00002GsFxRQAV,0.0,2018-08-28
0010G00002CE04zQAD,0.0,2018-08-22
0010G00002Jccx4QAB,1.0,2018-08-28
0010G00002JCZgbQAH,4.0,2018-08-24
0010G00002CDd6eQAD,204.0,2018-08-22
0010G00002J9iIJQAZ,116.0,2018-08-31
0010G00002CE8UlQAL,1.0,2018-08-05
0010G00002FzzhsQAB,1.0,2018-08-30
0010G00002I7qERQAZ,1.0,2018-08-02
0010G00002CDhqtQAD,0.0,2018-08-17
0010G00002JcjoyQAB,1.0,2018-08-29
0010G00002CE60HQAT,8.0,2018-08-28
0010G00002CDtkmQAD,56.0,2018-08-06
0010G00002JAFQ2QAP,2.0,2018-08-22
0010G00002CDoRxQAL,5.0,2018-08-08
0010G00002CDxb1QAD,0.0,2018-08-02
0010G00002J9EfbQAF,3.0,2018-08-10
0010G00002CDbD4QAL,3.0,2018-08-15
0010G00002CE4bHQAT,63.0,2018-08-29
0010G00002J9ewKQAR,2.0,2018-08-10
0010G00002JcxukQAB,1.0,2018-08-31
0010G00002CE0vPQAT,0.0,2018-08-06
0010G00002HnP5YQAV,84.0,2018-08-23
0010G00002CDdRpQAL,24.0,2018-08-11
0010G00002CE7ejQAD,8.0,2018-08-28
0010G00002I7zHhQAJ,2.0,2018-08-31
0010G00002I7QjsQAF,3.0,2018-08-02
0010G00002CDw8XQAT,1644.0,2018-08-15
0010G00002CDlh9QAD,1.0,2018-08-31
0010G00002GCj8xQAD,2.0,2018-08-24
0010G00002J9rTfQAJ,1.0,2018-08-17
0010G00002J9lqtQAB,1.0,2018-08-02
0010G00002CE2VhQAL,130.0,2018-08-24
0010G00002CDgBIQA1,4.0,2018-08-21
0010G00002J9qblQAB,1.0,2018-08-29
0010G00002GCiXlQAL,2.0,2018-08-14
0010G00002JBuNsQAL,1.0,2018-08-21
0010G00002J9qapQAB,15.0,2018-08-16
0010G00002I7q8VQAR,1.0,2018-08-02
0010G00002CDgyRQAT,56.0,2018-08-03
0010G00002JAlskQAD,10.0,2018-08-09
0010G00002JCoEQQA1,1.0,2018-08-22
0010G00002HnNeIQAV,24.0,2018-08-13
0010G00002CDbTnQAL,1.0,2018-08-27
0010G00002I7wzcQAB,11.0,2018-08-13
0010G00002HnOUVQA3,0.0,2018-08-10
0010G00002CDyf8QAD,84.0,2018-08-09
0010G00002J9J4SQAV,36.0,2018-08-09
0010G00002CDZdHQAX,2152.0,2018-08-09
0010G00002Jct9TQAR,1.0,2018-08-30
0010G00002JC5TqQAL,1.0,2018-08-13
0010G00002J9t7sQAB,10.0,2018-08-21
0010G00002CDi1IQAT,2.0,2018-08-27
0010G00002JAwtWQAT,118.0,2018-08-22
0010G00002CDzQ3QAL,6.0,2018-08-10
0010G00002JcvcfQAB,1.0,2018-08-31
0010G00002HnNj3QAF,0.0,2018-08-08
0010G00002CEDPuQAP,0.0,2018-08-10
0010G00002JcqWtQAJ,6.0,2018-08-30
0010G00002CDm0oQAD,48.0,2018-08-30
0010G00002I7z5mQAB,6.0,2018-08-08
0010G00002CDbe7QAD,1.0,2018-08-30
0010G00002GCikTQAT,0.0,2018-08-15
0010G00002CDhSnQAL,0.0,2018-08-20
0010G00002JC5XcQAL,2.0,2018-08-14
0010G00002CDZLCQA5,8.0,2018-08-01
0010G00002CDgIZQA1,0.0,2018-08-30
0010G00002I7q3nQAB,2.0,2018-08-02
0010G00002JASrYQAX,1.0,2018-08-20
0010G00002CDvSEQA1,37.0,2018-08-01
0010G00002J9L3tQAF,2.0,2018-08-28
0010G00002CDcD4QAL,4.0,2018-08-13
0010G00002JCcOhQAL,11.0,2018-08-30
0010G00002Jcc23QAB,1.0,2018-08-28
0010G00002GD7DZQA1,0.0,2018-08-30
0010G00002CDeu6QAD,2.0,2018-08-26
0010G00002CDfWSQA1,1.0,2018-08-07
0010G00002JcaWtQAJ,0.0,2018-08-30
0010G00002JcaHjQAJ,1.0,2018-08-28
0010G00002CEE9cQAH,0.0,2018-08-27
0010G00002I7qA3QAJ,8.0,2018-08-01
0010G00002CEBZvQAP,2.0,2018-08-28
0010G00002CDZHZQA5,2016.0,2018-08-10
0010G00002I7QELQA3,14.0,2018-08-02
0010G00002Jcx11QAB,1.0,2018-08-31
0010G00002CDh1zQAD,0.0,2018-08-06
0010G00002CE4acQAD,12.0,2018-08-30
0010G00002Ge83DQAR,1.0,2018-08-20
0010G00002CEJCdQAP,5.0,2018-08-13
